genome_id,ncbi_taxon_id
GCF_000591055.1,268739
GCF_000253055.1,768679
GCF_000827125.1,483547
GCF_000092465.1,591019
GCF_000970285.1,1434110
GCF_000196655.1,644295
GCF_000187005.1,743525
GCF_000025565.1,716541
GCF_001553955.1,34062
GCF_000807275.1,1267021
GCF_000307105.1,651182
GCF_000576555.1,1227739
GCF_000024205.1,485916
GCF_000191585.1,877455
GCF_000973545.1,1505597
GCF_000828975.1,1469502
GCF_000284075.1,1105113
GCF_000012305.1,259536
GCF_000242635.2,929556
GCF_000009985.1,342108
GCF_000959245.1,1249668
GCF_000023585.1,324057
GCF_000147835.2,690566
GCF_000013165.1,222891
GCF_000013745.1,316056
GCF_001314975.1,818
GCF_000233715.2,767817
GCF_000011485.1,74547
GCF_000011205.1,273063
GCF_000993785.2,408015
GCF_000761155.1,216142
GCF_000024785.1,526226
GCF_000144605.1,633149
GCF_001187845.1,1458307
GCF_000980815.1,161896
GCF_001477625.1,1768242
GCF_000969765.1,1267001
GCF_000011345.1,197221
GCF_000261025.1,246198
GCF_000250655.1,1116391
GCF_000013885.1,323097
GCF_000237065.1,1114970
GCF_001042635.1,1150461
GCF_000270285.1,502558
GCF_001708485.1,294
GCF_000091465.1,575788
GCF_000017245.1,339671
GCF_000024125.1,313596
GCF_000785705.2,1538553
GCF_000941055.1,1454006
GCF_000186345.1,575540
GCF_000006785.2,160490
GCF_000190635.1,645991
GCF_000007085.1,273068
GCF_000347695.1,1254439
GCF_000287335.1,1199245
GCF_000565195.1,838561
GCF_000017265.1,450851
GCF_000007745.1,221988
GCF_000276685.1,743973
GCF_000263195.1,929562
GCF_000317835.1,937777
GCF_000184745.1,595537
GCF_001025175.1,518634
GCF_000223375.1,759362
GCF_000511305.1,1435356
GCF_000300235.2,1123366
GCF_000441555.1,669502
GCF_000233915.3,1045855
GCF_001456215.1,1280
GCF_000013565.1,290400
GCF_000023965.1,485914
GCF_000832985.1,1348623
GCF_000803645.1,1515612
GCF_000012485.1,319225
GCF_000341385.1,1094497
GCF_001021045.1,136857
GCF_000019485.1,32049
GCF_000018665.1,398578
GCF_000802245.2,1355015
GCF_000151105.2,391623
GCF_000831645.3,1074467
GCF_000015205.1,384616
GCF_001854245.1,897
GCF_000237205.1,331113
GCF_000334405.1,1072467
GCF_000025865.1,547558
GCF_000211855.2,983544
GCF_000013405.1,56780
GCF_000299455.1,1133852
GCF_000209675.1,1005058
GCF_000020205.1,402626
GCF_000224085.1,886377
GCF_001908775.1,90270
GCF_000025945.1,177439
GCF_000015405.1,189918
GCF_000739455.1,156978
GCF_000025265.1,469383
GCF_000756615.1,44251
GCF_000195295.1,880072
GCF_000144625.1,610130
GCF_000183385.1,289397
GCF_001188915.1,1295
GCF_000020965.1,309799
GCF_001887595.1,1440763
GCF_000225345.1,585394
GCF_000018025.1,425104
GCF_000279145.1,1191523
GCF_000005845.2,511145
GCF_000017845.1,43989
GCF_000022565.1,240015
GCF_000018145.1,398580
GCF_000063505.1,32051
GCF_000269945.1,420890
GCF_001688625.1,292800
GCF_000019665.1,481448
GCF_000412695.1,1245471
GCF_000214665.1,857087
GCF_000014265.1,203124
GCF_000517425.1,1239307
GCF_000024285.1,521098
GCF_000238215.1,203275
GCF_000968535.2,1091494
GCF_000013225.1,321332
GCF_000185965.1,743721
GCF_000816845.1,1418105
GCF_000204925.1,1006006
GCF_000006845.1,242231
GCF_000011685.1,290633
GCF_000517605.1,754523
GCF_000196395.1,382245
GCF_000015565.1,391735
