kegg	kegg_ncbi	lastmajorreleaseaccession	similarity	assemblystatus	g	lineage	status
MFN	GCA_002795825.1	GCF_002795825.1	identical	Complete Genome	Zetaproteobacteria	Bacteria; Proteobacteria; Zetaproteobacteria; Mariprofundales; Mariprofundaceae; Mariprofundus	OK
MAES	GCA_002795805.1	GCF_002795805.1	identical	Complete Genome	Zetaproteobacteria	Bacteria; Proteobacteria; Zetaproteobacteria; Mariprofundales; Mariprofundaceae; Mariprofundus	OK
ROO	GCA_011044495.1	GCF_011044495.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Verrucomicrobiaceae; Roseimicrobium	OK
AGL	GCA_900097105.1	GCF_900097105.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia	OK
AMU	GCA_000020225.1	GCF_000020225.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia; Verrucomicrobiae; Verrucomicrobiales; Akkermansiaceae; Akkermansia	OK
XII	GCA_001318295.1	GCF_001318295.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia; Spartobacteria; Candidatus Xiphinematobacter; unclassified Candidatus Xiphinematobacter	OK
CAA	GCA_000025905.1	GCF_000025905.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia; Opitutae; Puniceicoccales; Puniceicoccaceae; Coraliomargarita	OK
OTE	GCA_000019965.1	GCF_000019965.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia; Opitutae; Opitutales; Opitutaceae; Opitutus	OK
VBH	GCA_002310495.1	GCF_002310495.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia; Opitutae; Opitutales; Opitutaceae; Nibricoccus	OK
OBG	GCA_001746835.1	GCF_001746835.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia; Opitutae; Opitutales; Opitutaceae; Lacunisphaera	OK
OBT	GCA_000242935.3	GCF_000242935.2	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia; Opitutae; Opitutales; Opitutaceae	OK
MKC	GCA_007475525.1	GCF_007475525.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia; Methylacidiphilae; Methylacidiphilales; Methylacidiphilaceae; Methylacidiphilum	OK
MIN	GCA_000019665.1	GCF_000019665.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia; Methylacidiphilae; Methylacidiphilales; Methylacidiphilaceae; Methylacidiphilum	OK
VBS	GCA_004299845.1	GCF_004299845.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia	OK
VBA	GCA_000972765.1	GCF_000972765.1	identical	Complete Genome	Verrucomicrobia	Bacteria; Verrucomicrobia	OK
THR	GCA_000832145.1	GCF_000832145.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga; unclassified Thermotoga	OK
THZ	GCA_000789375.1	GCF_000789375.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga; unclassified Thermotoga	OK
THQ	GCA_000789335.1	GCF_000789335.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga; unclassified Thermotoga	OK
TRQ	GCA_000019625.1	GCF_000019625.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga; unclassified Thermotoga	OK
TMQ	GCA_000978575.1	GCF_000978575.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	OK
TMW	GCA_000978555.1	GCF_000978555.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	OK
TMX	GCA_000978535.1	GCF_000978535.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	OK
TMM	GCA_000390265.1	GCF_000390265.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	OK
TMI	GCA_000230655.3	GCF_000230655.2	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	OK
TNP	GCA_000025105.1	GCF_000025105.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	OK
TNA	GCA_000018945.1	GCF_000018945.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	OK
TPT	GCA_000016785.1	GCF_000016785.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	OK
TMA	GCF_000008545.1	GCF_000008545.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Thermotoga	OK
PHY	GCA_000816145.1	GCF_000816145.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Pseudothermotoga	OK
TTA	GCA_000217815.1	GCF_000217815.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Pseudothermotoga	OK
TLE	GCA_000017865.1	GCF_000017865.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Thermotogaceae; Pseudothermotoga	OK
THP	GCA_001941365.1	GCF_001941365.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Fervidobacteriaceae; Thermosipho; unclassified Thermosipho (in: Bacteria)	OK
THER	GCA_001682135.1	GCF_001682135.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Fervidobacteriaceae; Thermosipho; unclassified Thermosipho (in: Bacteria)	OK
TAF	GCA_000021285.1	GCF_000021285.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Fervidobacteriaceae; Thermosipho	OK
TME	GCA_000016905.1	GCF_000016905.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Fervidobacteriaceae; Thermosipho	OK
FIA	GCA_000767275.3	GCF_000767275.2	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Fervidobacteriaceae; Fervidobacterium	OK
FPE	GCA_000235405.3	GCF_000235405.2	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Fervidobacteriaceae; Fervidobacterium	OK
FNO	GCA_000017545.1	GCF_000017545.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Thermotogales; Fervidobacteriaceae; Fervidobacterium	OK
PMO	GCA_000018605.1	GCF_000018605.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Petrotogales; Petrotogaceae; Petrotoga	OK
MARN	GCA_001941525.1	GCF_001941525.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Petrotogales; Petrotogaceae; Marinitoga; unclassified Marinitoga	OK
MPZ	GCA_000255135.1	GCF_000255135.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Petrotogales; Petrotogaceae; Marinitoga	OK
DTN	GCA_000953715.1	GCF_000953715.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Petrotogales; Petrotogaceae; Defluviitoga	OK
ASAC	GCA_009936215.1	GCF_009936215.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Mesoaciditogales; Mesoaciditogaceae; Athalassotoga	OK
MPG	GCA_000147715.3	GCF_000147715.2	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Kosmotogales; Kosmotogaceae; Mesotoga	OK
KPF	GCA_001027025.1	GCF_001027025.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Kosmotogales; Kosmotogaceae; Kosmotoga	OK
KOL	GCA_000023325.1	GCF_000023325.1	identical	Complete Genome	Thermotogae	Bacteria; Thermotogae; Kosmotogales; Kosmotogaceae; Kosmotoga	OK
TAV	GCA_011207455.1	GCF_011207455.1	identical	Complete Genome	Thermodesulfobacteria	Bacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermosulfuriphilus	OK
TMAI	GCA_012317585.1	GCF_012317585.1	identical	Complete Genome	Thermodesulfobacteria	Bacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermosulfurimonas	OK
THET	GCA_008630935.1	GCF_008630935.1	identical	Complete Genome	Thermodesulfobacteria	Bacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfobacterium; unclassified Thermodesulfobacterium	OK
TCM	GCA_000734015.1	GCF_000734015.1	identical	Complete Genome	Thermodesulfobacteria	Bacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfobacterium	OK
TOP	GCA_000215975.1	GCF_000215975.1	identical	Complete Genome	Thermodesulfobacteria	Bacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfobacterium	OK
TID	GCA_000217795.1	GCF_000217795.1	identical	Complete Genome	Thermodesulfobacteria	Bacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Thermodesulfatator	OK
CTHI	GCA_001548275.1	GCF_001548275.1	identical	Complete Genome	Thermodesulfobacteria	Bacteria; Thermodesulfobacteria; Thermodesulfobacteriales; Thermodesulfobacteriaceae; Caldimicrobium	OK
TBZ	GCA_002838205.1	GCF_002838205.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; unclassified Tenericutes	OK
TBM	GCA_002838185.1	GCF_002838185.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; unclassified Tenericutes	OK
SPRN	GCA_001886495.1	GCF_001886495.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma; unclassified Spiroplasma	OK
SPIT	GCA_001792795.1	GCF_001792795.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma; unclassified Spiroplasma	OK
STAB	GCA_009730595.1	GCF_009730595.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SALX	GCA_003363775.1	GCF_003363775.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
SPHH	GCA_003339775.1	GCF_003339775.1	identical	Complete Genome	Tenericutes Others	Bacteria; Tenericutes; Mollicutes; Entomoplasmatales; Spiroplasmataceae; Spiroplasma	OK
